task,domain,subdomain
Anagrams/Deranged anagrams,Puzzles and Games,Logic and Mathematical Puzzles
Angle difference between two bearings,Mathematics,Geometry and Trigonometry
"Angles (geometric), normalization and conversion",Mathematics,Geometry and Trigonometry
Animate a pendulum,Graphics and Visualization,Graphics Programming
Animation,Graphics and Visualization,Graphics Programming
Anonymous recursion,Programming Concepts,Advanced Concepts
Anti-primes,Mathematics,Number Theory
Append a record to the end of a text file,Systems Programming and File I/O,File Operations
Apply a callback to an array,Programming Concepts,Fundamentals
Apply a digital filter (direct form II transposed),Algorithms and Data Structures,Algorithms
Approximate equality,Mathematics,Numerical Methods
Arbitrary-precision integers (included),Mathematics,Numerical Methods
Archimedean spiral,Mathematics,Geometry and Trigonometry
Arena storage pool,Systems Programming and File I/O,File Operations
Arithmetic evaluation,Mathematics,Algebra and Arithmetic
Arithmetic numbers,Mathematics,Number Theory
Arithmetic-geometric mean,Mathematics,Numerical Methods
Arithmetic-geometric mean/Calculate Pi,Mathematics,Numerical Methods
Arithmetic/Complex,Mathematics,Algebra and Arithmetic
Arithmetic/Integer,Mathematics,Algebra and Arithmetic
Arithmetic/Rational,Mathematics,Algebra and Arithmetic
Array concatenation,Programming Concepts,Fundamentals
Array length,Text Processing,String Manipulation
Arrays,Algorithms and Data Structures,Data Structures
Ascending primes,Mathematics,Number Theory
Assertions,Programming Concepts,Fundamentals
Associative array/Creation,Algorithms and Data Structures,Data Structures
Associative array/Iteration,Algorithms and Data Structures,Data Structures
Associative array/Merging,Programming Concepts,Fundamentals
Atomic updates,Concurrency and Parallelism,Multithreading and Thread Management
Attractive numbers,Mathematics,Number Theory
Average loop length,Mathematics,Probability and Statistics
Averages/Arithmetic mean,Mathematics,Probability and Statistics
Averages/Mean angle,Mathematics,Geometry and Trigonometry
Averages/Mean time of day,Mathematics,Probability and Statistics
Averages/Median,Mathematics,Probability and Statistics
Averages/Mode,Mathematics,Probability and Statistics
Averages/Pythagorean means,Mathematics,Probability and Statistics
Averages/Root mean square,Mathematics,Probability and Statistics
Averages/Simple moving average,Mathematics,Probability and Statistics
Babbage problem,Mathematics,Number Theory
Balanced brackets,Puzzles and Games,Logic and Mathematical Puzzles
Balanced ternary,Mathematics,Number Theory
Barnsley fern,Mathematics,Fractals
Base64 decode data,Text Processing,Encoding and Decoding
Bell numbers,Mathematics,Combinatorics
Benford's law,Mathematics,Probability and Statistics
Bernoulli numbers,Mathematics,Number Theory
Best shuffle,Puzzles and Games,Puzzle Solving Algorithms
Bin given limits,Algorithms and Data Structures,Algorithms
Binary digits,Algorithms and Data Structures,Algorithms
Binary search,Algorithms and Data Structures,Algorithms
Binary strings,Text Processing,String Manipulation
Bioinformatics/Sequence mutation,Bioinformatics,Sequence Analysis and Mutation
Bioinformatics/base count,Bioinformatics,Sequence Analysis
Biorhythms,Mathematics,Mathematical Sequences and Series
Bitcoin/address validation,Security and Cryptography,Cryptographic Techniques
Bitcoin/public point to address,Security and Cryptography,Cryptographic Techniques
Bitmap,Graphics and Visualization,Graphics Programming
Bitmap/Bresenham's line algorithm,Graphics and Visualization,Graphics Programming
Bitmap/Bézier curves/Cubic,Graphics and Visualization,Graphics Programming
Bitmap/Bézier curves/Quadratic,Graphics and Visualization,Graphics Programming
Bitmap/Flood fill,Graphics and Visualization,Graphics Programming
Bitmap/Histogram,Graphics and Visualization,Graphics Programming
Bitmap/Midpoint circle algorithm,Graphics and Visualization,Graphics Programming
Bitmap/PPM conversion through a pipe,Systems Programming and File I/O,File Operations
Bitmap/Read a PPM file,Graphics and Visualization,Graphics Programming
Bitmap/Read an image through a pipe,Systems Programming and File I/O,File Operations
Bitmap/Write a PPM file,Graphics and Visualization,Graphics Programming
Bitwise IO,Systems Programming and File I/O,File Operations
Bitwise operations,Programming Concepts,Fundamentals
Boolean values,Programming Concepts,Fundamentals
Box the compass,Puzzles and Games,Logic and Mathematical Puzzles
Brace expansion,Programming Concepts,Fundamentals
Brazilian numbers,Mathematics,Number Theory
Break OO privacy,Programming Concepts,Advanced Concepts
Brilliant numbers,Mathematics,Number Theory
Brownian tree,Graphics and Visualization,Graphics Programming
Bulls and cows,Puzzles and Games,Game Development
Bulls and cows/Player,Puzzles and Games,Puzzle Solving Algorithms
Burrows–Wheeler transform,Algorithms and Data Structures,Algorithms
CRC-32,Security and Cryptography,Cryptographic Techniques
CSV data manipulation,Databases and Data Management,Data Serialization and Formats
CSV to HTML translation,Text Processing,Parsing and Tokenization
CUSIP,Mathematics,Number Theory
Caesar cipher,Security and Cryptography,Cryptographic Techniques
Calculating the value of e,Mathematics,Numerical Methods
Calendar,Miscellaneous Topics,Time and Date Manipulation
Calkin-Wilf sequence,Mathematics,Mathematical Sequences and Series
Call a foreign-language function,Programming Concepts,Fundamentals
Call a function,Programming Concepts,Fundamentals
Call a function in a shared library,Systems Programming and File I/O,File Operations
Call an object method,Programming Concepts,Fundamentals
Canny edge detector,Graphics and Visualization,Graphics Programming
Canonicalize CIDR,Networking and Web Development,Networking
Cantor set,Mathematics,Combinatorics
Carmichael 3 strong pseudoprimes,Mathematics,Number Theory
Cartesian product of two or more lists,Algorithms and Data Structures,Algorithms
Case-sensitivity of identifiers,Programming Concepts,Fundamentals
Casting out nines,Mathematics,Number Theory
Catalan numbers,Mathematics,Combinatorics
Catalan numbers/Pascal's triangle,Mathematics,Combinatorics
Catamorphism,Algorithms and Data Structures,Algorithms
Catmull–Clark subdivision surface,Graphics and Visualization,Graphics Programming
Chaocipher,Security and Cryptography,Cryptographic Techniques
Chaos game,Puzzles and Games,Simulation and Modeling
Character codes,Text Processing,Unicode and Character Sets
Chat server,Networking and Web Development,Networking
Check Machin-like formulas,Mathematics,Algebra and Arithmetic
Check input device is a terminal,Systems Programming and File I/O,File Operations
Check output device is a terminal,Operating Systems and Shell Programming,Operating System Concepts
Check that file exists,Systems Programming and File I/O,File Operations
Checkpoint synchronization,Concurrency and Parallelism,Synchronization Mechanisms
Chernick's Carmichael numbers,Mathematics,Number Theory
Cheryl's birthday,Puzzles and Games,Logic and Mathematical Puzzles
Chinese remainder theorem,Mathematics,Number Theory
Chinese zodiac,Mathematics,Numerical Methods
Cholesky decomposition,Mathematics,Numerical Methods
Chowla numbers,Mathematics,Number Theory
Church numerals,Mathematics,Mathematical Sequences and Series
Circles of given radius through two points,Mathematics,Geometry and Trigonometry
Circular primes,Mathematics,Number Theory
Cistercian numerals,Mathematics,Number Theory
Classes,Programming Concepts,Fundamentals
Closest-pair problem,Algorithms and Data Structures,Algorithms
Closures/Value capture,Programming Concepts,Fundamentals
Collections,Algorithms and Data Structures,Data Structures
Color of a screen pixel,Graphics and Visualization,Graphics Programming
Color quantization,Graphics and Visualization,Graphics Programming
Color wheel,Graphics and Visualization,Graphics Programming
Colour bars/Display,Graphics and Visualization,Graphics Programming
Colour pinstripe/Display,Graphics and Visualization,Graphics Programming
Colour pinstripe/Printer,Graphics and Visualization,Graphics Programming
Combinations,Mathematics,Combinatorics
Combinations and permutations,Mathematics,Combinatorics
Combinations with repetitions,Mathematics,Combinatorics
Comma quibbling,Puzzles and Games,Puzzle Solving Algorithms
Command-line arguments,Operating Systems and Shell Programming,Shell and Command-Line
Commatizing numbers,Text Processing,String Manipulation
Comments,Programming Concepts,Fundamentals
Compare a list of strings,Text Processing,String Manipulation
Compare length of two strings,Text Processing,String Manipulation
Compare sorting algorithms' performance,Algorithms and Data Structures,Algorithms
Compiler/AST interpreter,Programming Concepts,Advanced Concepts
Compiler/code generator,Programming Concepts,Advanced Concepts
Compiler/lexical analyzer,Programming Concepts,Advanced Concepts
Compiler/syntax analyzer,Programming Concepts,Advanced Concepts
Compiler/virtual machine interpreter,Systems Programming and File I/O,System Programming
Compound data type,Algorithms and Data Structures,Data Structures
Concurrent computing,Concurrency and Parallelism,Multithreading and Thread Management
Conditional structures,Programming Concepts,Fundamentals
Conjugate transpose,Mathematics,Linear Algebra
Consecutive primes with ascending or descending differences,Mathematics,Number Theory
Constrained random points on a circle,Mathematics,Probability and Statistics
Continued fraction,Mathematics,Mathematical Sequences and Series
Continued fraction/Arithmetic/Construct from rational number,Mathematics,Number Theory
Convert decimal number to rational,Mathematics,Number Theory
Convert seconds to compound duration,Mathematics,Algebra and Arithmetic
Convex hull,Mathematics,Geometry and Trigonometry
Conway's Game of Life,Puzzles and Games,Simulation and Modeling
Copy a string,Text Processing,String Manipulation
Copy stdin to stdout,Systems Programming and File I/O,File Operations
Count in factors,Mathematics,Number Theory
Count in octal,Mathematics,Numerical Methods
Count occurrences of a substring,Text Processing,String Manipulation
Count the coins,Algorithms and Data Structures,Algorithms
Cramer's rule,Mathematics,Algebra and Arithmetic
Create a file,Systems Programming and File I/O,File Operations
Create a file on magnetic tape,Systems Programming and File I/O,File Operations
Create a two-dimensional array at runtime,Algorithms and Data Structures,Data Structures
Create an HTML table,Networking and Web Development,Web Development
Cuban primes,Mathematics,Number Theory
Cullen and Woodall numbers,Mathematics,Number Theory
Cumulative standard deviation,Mathematics,Probability and Statistics
Currency,Mathematics,Algebra and Arithmetic
Currying,Programming Concepts,Advanced Concepts
Cut a rectangle,Mathematics,Combinatorics
Cyclotomic polynomial,Mathematics,Algebra and Arithmetic
DNS query,Networking and Web Development,Networking
Damm algorithm,Security and Cryptography,Cryptographic Techniques
Date format,Miscellaneous Topics,Time and Date Manipulation
Date manipulation,Miscellaneous Topics,Time and Date Manipulation
Day of the week,Mathematics,Calendar and Date Calculations
Deal cards for FreeCell,Puzzles and Games,Game Development
Death Star,Graphics and Visualization,Graphics Programming
Deconvolution/1D,Mathematics,Numerical Methods
Deconvolution/2D+,Mathematics,Numerical Methods
Deepcopy,Algorithms and Data Structures,Data Structures
Define a primitive data type,Programming Concepts,Fundamentals
Delegates,Programming Concepts,Advanced Concepts
Delete a file,Systems Programming and File I/O,File Operations
Deming's Funnel,Mathematics,Probability and Statistics
Department numbers,Puzzles and Games,Logic and Mathematical Puzzles
Descending primes,Mathematics,Number Theory
Detect division by zero,Programming Concepts,Fundamentals
Determinant and permanent,Mathematics,Algebra and Arithmetic
Determine if a string has all the same characters,Puzzles and Games,Logic and Mathematical Puzzles
Determine if a string has all unique characters,Puzzles and Games,Logic and Mathematical Puzzles
Determine if a string is collapsible,Text Processing,String Manipulation
Determine if a string is numeric,Text Processing,String Manipulation
Determine if a string is squeezable,Text Processing,String Manipulation
Determine if only one instance is running,Operating Systems and Shell Programming,Operating System Concepts
Determine if two triangles overlap,Puzzles and Games,Logic and Mathematical Puzzles
Determine sentence type,Text Processing,String Manipulation
Dice game probabilities,Mathematics,Probability and Statistics
Digital root,Mathematics,Number Theory
Digital root/Multiplicative digital root,Mathematics,Number Theory
Dijkstra's algorithm,Algorithms and Data Structures,Algorithms
Dinesman's multiple-dwelling problem,Puzzles and Games,Logic and Mathematical Puzzles
Dining philosophers,Concurrency and Parallelism,Multithreading and Thread Management
Disarium numbers,Mathematics,Number Theory
Discordian date,Mathematics,Calendar Systems
Display a linear combination,Mathematics,Algebra and Arithmetic
Display an outline as a nested table,Puzzles and Games,Puzzle Solving Algorithms
Distributed programming,Networking and Web Development,Networking
Diversity prediction theorem,Mathematics,Probability and Statistics
Documentation,Software Engineering,Documentation Practices
Dot product,Mathematics,Algebra and Arithmetic
Doubly-linked list/Definition,Algorithms and Data Structures,Data Structures
Doubly-linked list/Element definition,Algorithms and Data Structures,Data Structures
Doubly-linked list/Element insertion,Algorithms and Data Structures,Data Structures
Doubly-linked list/Traversal,Algorithms and Data Structures,Data Structures
Dragon curve,Puzzles and Games,Simulation and Modeling
Draw a clock,Graphics and Visualization,Graphics Programming
Draw a cuboid,Graphics and Visualization,Graphics Programming
Draw a pixel,Graphics and Visualization,Graphics Programming
Draw a rotating cube,Graphics and Visualization,Graphics Programming
Draw a sphere,Graphics and Visualization,Graphics Programming
Dutch national flag problem,Algorithms and Data Structures,Algorithms
Dynamic variable names,Programming Concepts,Fundamentals
EKG sequence convergence,Mathematics,Number Theory
Earliest difference between prime gaps,Mathematics,Number Theory
Eban numbers,Mathematics,Combinatorics
Echo server,Networking and Web Development,Networking
Eertree,Algorithms and Data Structures,Data Structures
Egyptian division,Mathematics,Algebra and Arithmetic
Egyptian fractions,Mathematics,Number Theory
Element-wise operations,Algorithms and Data Structures,Algorithms
Elementary cellular automaton,Puzzles and Games,Simulation and Modeling
Elementary cellular automaton/Infinite length,Artificial Intelligence and Machine Learning,Basic AI Concepts
Elementary cellular automaton/Random Number Generator,Puzzles and Games,Simulation and Modeling
Elliptic Curve Digital Signature Algorithm,Security and Cryptography,Cryptographic Techniques
Elliptic curve arithmetic,Security and Cryptography,Cryptographic Techniques
Emirp primes,Mathematics,Number Theory
Empty directory,Systems Programming and File I/O,File Operations
Empty program,Programming Concepts,Fundamentals
Empty string,Text Processing,String Manipulation
Enforced immutability,Programming Concepts,Fundamentals
Entropy,Mathematics,Probability and Statistics
Entropy/Narcissist,Mathematics,Probability and Statistics
Enumerations,Programming Concepts,Fundamentals
Environment variables,Systems Programming and File I/O,File Operations
Equilibrium index,Algorithms and Data Structures,Algorithms
Esthetic numbers,Mathematics,Combinatorics
Ethiopian multiplication,Mathematics,Algebra and Arithmetic
Euler method,Mathematics,Numerical Methods
Euler's identity,Mathematics,Algebra and Arithmetic
Euler's sum of powers conjecture,Mathematics,Number Theory
Evaluate binomial coefficients,Mathematics,Combinatorics
Even or odd,Mathematics,Algebra and Arithmetic
Evolutionary algorithm,Artificial Intelligence and Machine Learning,Heuristics and Optimization
Exceptions,Programming Concepts,Advanced Concepts
Exceptions/Catch an exception thrown in a nested call,Programming Concepts,Fundamentals
Executable library,Programming Concepts,Fundamentals
Execute Brain****,Programming Concepts,Fundamentals
Execute Computer/Zero,Programming Concepts,Fundamentals
Execute HQ9+,Puzzles and Games,Puzzle Solving Algorithms
Execute SNUSP,Puzzles and Games,Puzzle Solving Algorithms
Execute a Markov algorithm,Algorithms and Data Structures,Algorithms
Execute a system command,Systems Programming and File I/O,File Operations
Exponentiation operator,Mathematics,Algebra and Arithmetic
Exponentiation order,Mathematics,Algebra and Arithmetic
Exponentiation with infix operators in (or operating on) the base,Mathematics,Algebra and Arithmetic
Extend your language,Programming Concepts,Advanced Concepts
Extensible prime generator,Mathematics,Number Theory
Extreme floating point values,Mathematics,Numerical Methods
FASTA format,Text Processing,Parsing and Tokenization
FTP,Networking and Web Development,Networking
Faces from a mesh,Algorithms and Data Structures,Algorithms
Factorial,Mathematics,Algebra and Arithmetic
Factorial base numbers indexing permutations of a collection,Puzzles and Games,Puzzle Solving Algorithms
Factorions,Mathematics,Combinatorics
Factors of a Mersenne number,Mathematics,Number Theory
Factors of an integer,Mathematics,Number Theory
Fairshare between two and more,Mathematics,Combinatorics
Farey sequence,Mathematics,Number Theory
Fast Fourier transform,Mathematics,Numerical Methods
Faulhaber's formula,Mathematics,Algebra and Arithmetic
Faulhaber's triangle,Mathematics,Combinatorics
Feigenbaum constant calculation,Mathematics,Numerical Methods
Fermat numbers,Mathematics,Number Theory
Fibonacci n-step number sequences,Mathematics,Mathematical Sequences and Series
Fibonacci sequence,Mathematics,Mathematical Sequences and Series
Fibonacci word,Mathematics,Combinatorics
Fibonacci word/fractal,Puzzles and Games,Simulation and Modeling
File extension is in extensions list,Systems Programming and File I/O,File Operations
File input/output,Systems Programming and File I/O,File Operations
File modification time,Systems Programming and File I/O,File Operations
File size,Systems Programming and File I/O,File Operations
File size distribution,Systems Programming and File I/O,File Operations
Filter,Algorithms and Data Structures,Algorithms
Find Chess960 starting position identifier,Puzzles and Games,Puzzle Solving Algorithms
Find common directory path,Operating Systems and Shell Programming,File Operations
Find duplicate files,Systems Programming and File I/O,File Operations
Find if a point is within a triangle,Mathematics,Geometry and Trigonometry
Find largest left truncatable prime in a given base,Mathematics,Number Theory
Find limit of recursion,Programming Concepts,Fundamentals
Find palindromic numbers in both binary and ternary bases,Mathematics,Number Theory
Find the intersection of a line with a plane,Mathematics,Geometry and Trigonometry
Find the intersection of two lines,Mathematics,Geometry and Trigonometry
Find the last Sunday of each month,Mathematics,Probability and Statistics
Find the missing permutation,Puzzles and Games,Logic and Mathematical Puzzles
First class environments,Programming Concepts,Advanced Concepts
First perfect square in base n with n unique digits,Mathematics,Number Theory
First power of 2 that has leading decimal digits of 12,Mathematics,Number Theory
First-class functions,Programming Concepts,Fundamentals
First-class functions/Use numbers analogously,Programming Concepts,Fundamentals
Five weekends,Mathematics,Combinatorics
Fivenum,Mathematics,Probability and Statistics
Fixed length records,Systems Programming and File I/O,File Operations
FizzBuzz,Puzzles and Games,Logic and Mathematical Puzzles
Flatten a list,Algorithms and Data Structures,Algorithms
Flipping bits game,Puzzles and Games,Game Development
Flow-control structures,Programming Concepts,Fundamentals
Floyd's triangle,Puzzles and Games,Logic and Mathematical Puzzles
Floyd-Warshall algorithm,Algorithms and Data Structures,Algorithms
Forest fire,Puzzles and Games,Simulation and Modeling
Fork,Operating Systems and Shell Programming,Operating System Concepts
Formal power series,Mathematics,Mathematical Sequences and Series
Formatted numeric output,Text Processing,String Manipulation
Fortunate numbers,Mathematics,Number Theory
Forward difference,Mathematics,Numerical Methods
Four bit adder,Algorithms and Data Structures,Algorithms
Four is magic,Puzzles and Games,Logic and Mathematical Puzzles
Four is the number of letters in the ...,Mathematics,Combinatorics
Fractal tree,Graphics and Visualization,Graphics Programming
Fraction reduction,Mathematics,Number Theory
Fractran,Puzzles and Games,Puzzle Solving Algorithms
Function composition,Programming Concepts,Fundamentals
Function definition,Programming Concepts,Fundamentals
Function frequency,Text Processing,Parsing and Tokenization
Functional coverage tree,Puzzles and Games,Puzzle Solving Algorithms
Fusc sequence,Mathematics,Mathematical Sequences and Series
GUI component interaction,Programming Concepts,Fundamentals
GUI enabling/disabling of controls,Programming Concepts,Fundamentals
GUI/Maximum window dimensions,Operating Systems and Shell Programming,Operating System Concepts
Galton box animation,Graphics and Visualization,Graphics Programming
Gamma function,Mathematics,Numerical Methods
Gapful numbers,Mathematics,Number Theory
Gauss-Jordan matrix inversion,Mathematics,Algebra and Arithmetic
Gaussian elimination,Mathematics,Numerical Methods
General FizzBuzz,Puzzles and Games,Puzzle Solving Algorithms
Generate Chess960 starting position,Puzzles and Games,Game Development
Generate lower case ASCII alphabet,Text Processing,String Manipulation
Generate random chess position,Puzzles and Games,Puzzle Solving Algorithms
Generator/Exponential,Programming Concepts,Fundamentals
Generic swap,Programming Concepts,Fundamentals
Get system command output,Operating Systems and Shell Programming,Shell and Command-Line
Globally replace text in several files,Text Processing,String Manipulation
Go Fish,Puzzles and Games,Game Development
Goldbach's comet,Mathematics,Number Theory
Graph colouring,Algorithms and Data Structures,Algorithms
Gray code,Algorithms and Data Structures,Algorithms
Grayscale image,Graphics and Visualization,Graphics Programming
Greatest common divisor,Mathematics,Number Theory
Greatest element of a list,Algorithms and Data Structures,Algorithms
Greatest subsequential sum,Algorithms and Data Structures,Algorithms
Greyscale bars/Display,Graphics and Visualization,Graphics Programming
Guess the number,Puzzles and Games,Puzzle Solving Algorithms
Guess the number/With feedback,Puzzles and Games,Game Development
Guess the number/With feedback (player),Puzzles and Games,Puzzle Solving Algorithms
HTTP,Networking and Web Development,Networking
HTTPS,Networking and Web Development,Networking
HTTPS/Authenticated,Networking and Web Development,Networking
HTTPS/Client-authenticated,Networking and Web Development,Networking
Hailstone sequence,Mathematics,Combinatorics
Halt and catch fire,Puzzles and Games,Logic and Mathematical Puzzles
Hamming numbers,Mathematics,Number Theory
Handle a signal,Operating Systems and Shell Programming,Operating System Concepts
Happy numbers,Mathematics,Number Theory
Harmonic series,Mathematics,Mathematical Sequences and Series
Harshad or Niven series,Mathematics,Number Theory
Hash from two arrays,Programming Concepts,Fundamentals
Hash join,Databases and Data Management,Database Interaction
Haversine formula,Mathematics,Geometry and Trigonometry
Hello world/Graphical,Graphics and Visualization,Graphics Programming
Hello world/Line printer,Systems Programming and File I/O,File Operations
Hello world/Newbie,Programming Concepts,Fundamentals
Hello world/Newline omission,Programming Concepts,Fundamentals
Hello world/Standard error,Programming Concepts,Fundamentals
Hello world/Text,Programming Concepts,Fundamentals
Hello world/Web server,Networking and Web Development,Web Development
Here document,Programming Concepts,Fundamentals
Heronian triangles,Mathematics,Geometry and Trigonometry
Hickerson series of almost integers,Mathematics,Numerical Methods
Higher-order functions,Programming Concepts,Fundamentals
Hilbert curve,Graphics and Visualization,Graphics Programming
History variables,Programming Concepts,Advanced Concepts
Hofstadter Figure-Figure sequences,Mathematics,Combinatorics
Hofstadter Q sequence,Mathematics,Mathematical Sequences and Series
"Hofstadter-Conway $10,000 sequence",Mathematics,Combinatorics
Holidays related to Easter,Mathematics,Mathematical Sequences and Series
Honeycombs,Puzzles and Games,Game Development
Horizontal sundial calculations,Mathematics,Geometry and Trigonometry
Horner's rule for polynomial evaluation,Mathematics,Algebra and Arithmetic
Host introspection,Systems Programming and File I/O,System Programming
Hostname,Networking and Web Development,Networking
Hough transform,Graphics and Visualization,Graphics Programming
Huffman coding,Algorithms and Data Structures,Algorithms
Humble numbers,Mathematics,Number Theory
Hunt the Wumpus,Puzzles and Games,Game Development
I before E except after C,Puzzles and Games,Logic and Mathematical Puzzles
IBAN,Security and Cryptography,Cryptographic Techniques
ISBN13 check digit,Mathematics,Number Theory
Identity matrix,Mathematics,Algebra and Arithmetic
Idiomatically determine all the characters that can be used for symbols,Programming Concepts,Fundamentals
Idiomatically determine all the lowercase and uppercase letters,Text Processing,String Manipulation
Image convolution,Graphics and Visualization,Graphics Programming
Image noise,Graphics and Visualization,Graphics Programming
Imaginary base numbers,Mathematics,Number Theory
Include a file,Systems Programming and File I/O,File Operations
Increasing gaps between consecutive Niven numbers,Mathematics,Number Theory
Increment a numerical string,Mathematics,Algebra and Arithmetic
Index finite lists of positive integers,Mathematics,Combinatorics
Infinity,Mathematics,Numerical Methods
Inheritance/Multiple,Programming Concepts,Fundamentals
Inheritance/Single,Programming Concepts,Fundamentals
Input loop,Programming Concepts,Fundamentals
Integer comparison,Programming Concepts,Fundamentals
Integer overflow,Mathematics,Algebra and Arithmetic
Integer sequence,Mathematics,Mathematical Sequences and Series
Interactive programming (repl),Programming Concepts,Fundamentals
Intersecting number wheels,Puzzles and Games,Puzzle Solving Algorithms
Introspection,Programming Concepts,Fundamentals
Inverted index,Databases and Data Management,Database Interaction
Inverted syntax,Programming Concepts,Fundamentals
Isqrt (integer square root) of X,Mathematics,Algebra and Arithmetic
Iterated digits squaring,Mathematics,Combinatorics
JSON,Databases and Data Management,Data Serialization and Formats
Jacobi symbol,Mathematics,Number Theory
Jacobsthal numbers,Mathematics,Mathematical Sequences and Series
Jaro similarity,Mathematics,Probability and Statistics
Jaro-Winkler distance,Mathematics,Probability and Statistics
Jensen's Device,Programming Concepts,Advanced Concepts
Jewels and stones,Text Processing,String Manipulation
JortSort,Algorithms and Data Structures,Algorithms
Josephus problem,Mathematics,Combinatorics
Joystick position,Graphics and Visualization,Graphics Programming
Juggler sequence,Mathematics,Mathematical Sequences and Series
Julia set,Graphics and Visualization,Graphics Programming
Jump anywhere,Programming Concepts,Advanced Concepts
K-d tree,Algorithms and Data Structures,Algorithms
K-means++ clustering,Artificial Intelligence and Machine Learning,Basic AI Concepts
Kaprekar numbers,Mathematics,Number Theory
Kernighans large earthquake problem,Text Processing,Parsing and Tokenization
Keyboard input/Flush the keyboard buffer,Systems Programming and File I/O,File Operations
Keyboard input/Keypress check,Programming Concepts,Fundamentals
Keyboard input/Obtain a Y or N response,Programming Concepts,Fundamentals
Keyboard macros,Systems Programming and File I/O,System Programming
Knapsack problem/0-1,Algorithms and Data Structures,Algorithms
Knapsack problem/Bounded,Algorithms and Data Structures,Algorithms
Knapsack problem/Continuous,Algorithms and Data Structures,Algorithms
Knapsack problem/Unbounded,Algorithms and Data Structures,Algorithms
Knight's tour,Puzzles and Games,Logic and Mathematical Puzzles
Knuth shuffle,Algorithms and Data Structures,Algorithms
Knuth's algorithm S,Algorithms and Data Structures,Algorithms
Knuth's power tree,Algorithms and Data Structures,Algorithms
Koch curve,Mathematics,Geometry and Trigonometry
Kolakoski sequence,Mathematics,Combinatorics
Kosaraju,Algorithms and Data Structures,Algorithms
Kronecker product,Mathematics,Algebra and Arithmetic
Kronecker product based fractals,Mathematics,Mathematical Sequences and Series
LU decomposition,Mathematics,Numerical Methods
LZW compression,Algorithms and Data Structures,Algorithms
Lah numbers,Mathematics,Combinatorics
Langton's ant,Puzzles and Games,Simulation and Modeling
Largest int from concatenated ints,Algorithms and Data Structures,Algorithms
Largest number divisible by its digits,Mathematics,Number Theory
Largest proper divisor of n,Mathematics,Number Theory
Last Friday of each month,Mathematics,Combinatorics
Last letter-first letter,Puzzles and Games,Puzzle Solving Algorithms
Latin Squares in reduced form,Mathematics,Combinatorics
Law of cosines - triples,Mathematics,Geometry and Trigonometry
Leap year,Mathematics,Algebra and Arithmetic
Least common multiple,Mathematics,Algebra and Arithmetic
Left factorials,Mathematics,Combinatorics
Legendre prime counting function,Mathematics,Number Theory
Leonardo numbers,Mathematics,Mathematical Sequences and Series
Letter frequency,Text Processing,String Manipulation
Levenshtein distance,Text Processing,String Manipulation
Levenshtein distance/Alignment,Text Processing,String Manipulation
Linear congruential generator,Mathematics,Probability and Statistics
List comprehensions,Programming Concepts,Fundamentals
List rooted trees,Puzzles and Games,Logic and Mathematical Puzzles
Literals/Floating point,Programming Concepts,Fundamentals
Literals/Integer,Programming Concepts,Fundamentals
Literals/String,Text Processing,String Manipulation
Logical operations,Programming Concepts,Fundamentals
"Long literals, with continuations",Programming Concepts,Fundamentals
Long multiplication,Mathematics,Algebra and Arithmetic
Long primes,Mathematics,Number Theory
Long year,Mathematics,Combinatorics
Longest common subsequence,Algorithms and Data Structures,Algorithms
