test_id,base_code_id,base_language,base_task,base_domain,base_subdomain,similarity_score,clone_code_id,clone_language,clone_task,clone_domain,clone_subdomain,clone_type,clone_sub_type
z4tt_4_2_2,z4tt,python,100 doors,Game Development,Puzzles,0.97955364,z4tt_4_2,php,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_3,inmof,python,2048,Game Development,Puzzles,0.9326568,z4tt_4_2,php,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_4,inmof,python,2048,Game Development,Puzzles,0.9326568,z4tt_4_2,php,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_5,clr9q,python,15 puzzle game,Game Development,Puzzles,0.91717434,z4tt_4_2,php,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_1,z4tt,python,100 doors,Game Development,Puzzles,0.9837183,z4tt_4_2,ruby,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_2,z4tt,python,100 doors,Game Development,Puzzles,0.9837183,z4tt_4_2,ruby,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_3,inmof,python,2048,Game Development,Puzzles,0.9170362,z4tt_4_2,ruby,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_4,inmof,python,2048,Game Development,Puzzles,0.9170362,z4tt_4_2,ruby,100 doors,Game Development,Puzzles,T4,Different Language
z4tt_4_2_5,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9131224,z4tt_4_2,ruby,100 doors,Game Development,Puzzles,T4,Different Language
vu129_1_1_1,vu129,python,100 prisoners,Game Development,Puzzles,1.0,vu129_1_1,python,100 prisoners,Game Development,Puzzles,T1,Identical Clone
vu129_1_1_2,vu129,python,100 prisoners,Game Development,Puzzles,1.0,vu129_1_1,python,100 prisoners,Game Development,Puzzles,T1,Identical Clone
vu129_1_1_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98731136,vu129_1_1,python,100 prisoners,Game Development,Puzzles,T1,Identical Clone
vu129_1_1_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98731136,vu129_1_1,python,100 prisoners,Game Development,Puzzles,T1,Identical Clone
vu129_1_1_5,inmof,python,2048,Game Development,Puzzles,0.95824844,vu129_1_1,python,100 prisoners,Game Development,Puzzles,T1,Identical Clone
vu129_1_2_1,inmof,python,2048,Game Development,Puzzles,0.98198456,vu129_1_2,python,100 prisoners,Game Development,Puzzles,T1,Different Whitespaces
vu129_1_2_2,inmof,python,2048,Game Development,Puzzles,0.98198456,vu129_1_2,python,100 prisoners,Game Development,Puzzles,T1,Different Whitespaces
vu129_1_2_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.97683907,vu129_1_2,python,100 prisoners,Game Development,Puzzles,T1,Different Whitespaces
vu129_1_2_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.97683907,vu129_1_2,python,100 prisoners,Game Development,Puzzles,T1,Different Whitespaces
vu129_1_2_5,vu129,python,100 prisoners,Game Development,Puzzles,0.9688635,vu129_1_2,python,100 prisoners,Game Development,Puzzles,T1,Different Whitespaces
vu129_1_3_1,vu129,python,100 prisoners,Game Development,Puzzles,0.9994661,vu129_1_3,python,100 prisoners,Game Development,Puzzles,T1,Different Comments
vu129_1_3_2,vu129,python,100 prisoners,Game Development,Puzzles,0.9994661,vu129_1_3,python,100 prisoners,Game Development,Puzzles,T1,Different Comments
vu129_1_3_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98832643,vu129_1_3,python,100 prisoners,Game Development,Puzzles,T1,Different Comments
vu129_1_3_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98832643,vu129_1_3,python,100 prisoners,Game Development,Puzzles,T1,Different Comments
vu129_1_3_5,inmof,python,2048,Game Development,Puzzles,0.9623128,vu129_1_3,python,100 prisoners,Game Development,Puzzles,T1,Different Comments
vu129_1_4_1,vu129,python,100 prisoners,Game Development,Puzzles,0.9995636,vu129_1_4,python,100 prisoners,Game Development,Puzzles,T1,Different Formatting
vu129_1_4_2,vu129,python,100 prisoners,Game Development,Puzzles,0.9995636,vu129_1_4,python,100 prisoners,Game Development,Puzzles,T1,Different Formatting
vu129_1_4_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9864063,vu129_1_4,python,100 prisoners,Game Development,Puzzles,T1,Different Formatting
vu129_1_4_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9864063,vu129_1_4,python,100 prisoners,Game Development,Puzzles,T1,Different Formatting
vu129_1_4_5,inmof,python,2048,Game Development,Puzzles,0.95478094,vu129_1_4,python,100 prisoners,Game Development,Puzzles,T1,Different Formatting
vu129_2_1_1,vu129,python,100 prisoners,Game Development,Puzzles,0.999232,vu129_2_1,python,100 prisoners,Game Development,Puzzles,T2,Different Variable Names
vu129_2_1_2,vu129,python,100 prisoners,Game Development,Puzzles,0.999232,vu129_2_1,python,100 prisoners,Game Development,Puzzles,T2,Different Variable Names
vu129_2_1_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98392004,vu129_2_1,python,100 prisoners,Game Development,Puzzles,T2,Different Variable Names
vu129_2_1_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98392004,vu129_2_1,python,100 prisoners,Game Development,Puzzles,T2,Different Variable Names
vu129_2_1_5,inmof,python,2048,Game Development,Puzzles,0.95209205,vu129_2_1,python,100 prisoners,Game Development,Puzzles,T2,Different Variable Names
vu129_2_2_1,vu129,python,100 prisoners,Game Development,Puzzles,0.9980772,vu129_2_2,python,100 prisoners,Game Development,Puzzles,T2,Different Data Types
vu129_2_2_2,vu129,python,100 prisoners,Game Development,Puzzles,0.9980772,vu129_2_2,python,100 prisoners,Game Development,Puzzles,T2,Different Data Types
vu129_2_2_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9877684,vu129_2_2,python,100 prisoners,Game Development,Puzzles,T2,Different Data Types
vu129_2_2_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9877684,vu129_2_2,python,100 prisoners,Game Development,Puzzles,T2,Different Data Types
vu129_2_2_5,inmof,python,2048,Game Development,Puzzles,0.95938873,vu129_2_2,python,100 prisoners,Game Development,Puzzles,T2,Different Data Types
vu129_2_3_1,vu129,python,100 prisoners,Game Development,Puzzles,0.9999887,vu129_2_3,python,100 prisoners,Game Development,Puzzles,T2,Different Function Names
vu129_2_3_2,vu129,python,100 prisoners,Game Development,Puzzles,0.9999887,vu129_2_3,python,100 prisoners,Game Development,Puzzles,T2,Different Function Names
vu129_2_3_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98729485,vu129_2_3,python,100 prisoners,Game Development,Puzzles,T2,Different Function Names
vu129_2_3_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98729485,vu129_2_3,python,100 prisoners,Game Development,Puzzles,T2,Different Function Names
vu129_2_3_5,inmof,python,2048,Game Development,Puzzles,0.9582876,vu129_2_3,python,100 prisoners,Game Development,Puzzles,T2,Different Function Names
vu129_3_1_1,vu129,python,100 prisoners,Game Development,Puzzles,0.9997015,vu129_3_1,python,100 prisoners,Game Development,Puzzles,T3,Added Statements
vu129_3_1_2,vu129,python,100 prisoners,Game Development,Puzzles,0.9997015,vu129_3_1,python,100 prisoners,Game Development,Puzzles,T3,Added Statements
vu129_3_1_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9872741,vu129_3_1,python,100 prisoners,Game Development,Puzzles,T3,Added Statements
vu129_3_1_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9872741,vu129_3_1,python,100 prisoners,Game Development,Puzzles,T3,Added Statements
vu129_3_1_5,inmof,python,2048,Game Development,Puzzles,0.956707,vu129_3_1,python,100 prisoners,Game Development,Puzzles,T3,Added Statements
vu129_3_2_1,vu129,python,100 prisoners,Game Development,Puzzles,0.9928801,vu129_3_2,python,100 prisoners,Game Development,Puzzles,T3,Removed Statements
vu129_3_2_2,vu129,python,100 prisoners,Game Development,Puzzles,0.9928801,vu129_3_2,python,100 prisoners,Game Development,Puzzles,T3,Removed Statements
vu129_3_2_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9897347,vu129_3_2,python,100 prisoners,Game Development,Puzzles,T3,Removed Statements
vu129_3_2_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9897347,vu129_3_2,python,100 prisoners,Game Development,Puzzles,T3,Removed Statements
vu129_3_2_5,inmof,python,2048,Game Development,Puzzles,0.9717105,vu129_3_2,python,100 prisoners,Game Development,Puzzles,T3,Removed Statements
vu129_3_3_1,vu129,python,100 prisoners,Game Development,Puzzles,0.99973047,vu129_3_3,python,100 prisoners,Game Development,Puzzles,T3,Reordered Statements
vu129_3_3_2,vu129,python,100 prisoners,Game Development,Puzzles,0.99973047,vu129_3_3,python,100 prisoners,Game Development,Puzzles,T3,Reordered Statements
vu129_3_3_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98726714,vu129_3_3,python,100 prisoners,Game Development,Puzzles,T3,Reordered Statements
vu129_3_3_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98726714,vu129_3_3,python,100 prisoners,Game Development,Puzzles,T3,Reordered Statements
vu129_3_3_5,inmof,python,2048,Game Development,Puzzles,0.9568199,vu129_3_3,python,100 prisoners,Game Development,Puzzles,T3,Reordered Statements
vu129_3_4_1,vu129,python,100 prisoners,Game Development,Puzzles,0.99898124,vu129_3_4,python,100 prisoners,Game Development,Puzzles,T3,Control Flow Modifications
vu129_3_4_2,vu129,python,100 prisoners,Game Development,Puzzles,0.99898124,vu129_3_4,python,100 prisoners,Game Development,Puzzles,T3,Control Flow Modifications
vu129_3_4_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98797584,vu129_3_4,python,100 prisoners,Game Development,Puzzles,T3,Control Flow Modifications
vu129_3_4_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98797584,vu129_3_4,python,100 prisoners,Game Development,Puzzles,T3,Control Flow Modifications
vu129_3_4_5,inmof,python,2048,Game Development,Puzzles,0.95896864,vu129_3_4,python,100 prisoners,Game Development,Puzzles,T3,Control Flow Modifications
vu129_4_1_1,clr9q,python,15 puzzle game,Game Development,Puzzles,0.985229,vu129_4_1,python,100 prisoners,Game Development,Puzzles,T4,Same Language
vu129_4_1_2,clr9q,python,15 puzzle game,Game Development,Puzzles,0.985229,vu129_4_1,python,100 prisoners,Game Development,Puzzles,T4,Same Language
vu129_4_1_3,vu129,python,100 prisoners,Game Development,Puzzles,0.97935486,vu129_4_1,python,100 prisoners,Game Development,Puzzles,T4,Same Language
vu129_4_1_4,vu129,python,100 prisoners,Game Development,Puzzles,0.97935486,vu129_4_1,python,100 prisoners,Game Development,Puzzles,T4,Same Language
vu129_4_1_5,inmof,python,2048,Game Development,Puzzles,0.97891986,vu129_4_1,python,100 prisoners,Game Development,Puzzles,T4,Same Language
vu129_4_2_1,z4tt,python,100 doors,Game Development,Puzzles,0.9611594,vu129_4_2,go,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_2,z4tt,python,100 doors,Game Development,Puzzles,0.9611594,vu129_4_2,go,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_3,inmof,python,2048,Game Development,Puzzles,0.90710866,vu129_4_2,go,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_4,inmof,python,2048,Game Development,Puzzles,0.90710866,vu129_4_2,go,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_5,clr9q,python,15 puzzle game,Game Development,Puzzles,0.90022385,vu129_4_2,go,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_1,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9845103,vu129_4_2,java,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_2,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9845103,vu129_4_2,java,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_3,vu129,python,100 prisoners,Game Development,Puzzles,0.98181593,vu129_4_2,java,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_4,vu129,python,100 prisoners,Game Development,Puzzles,0.98181593,vu129_4_2,java,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_5,inmof,python,2048,Game Development,Puzzles,0.96511215,vu129_4_2,java,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_1,z4tt,python,100 doors,Game Development,Puzzles,0.9609592,vu129_4_2,javascript,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_2,z4tt,python,100 doors,Game Development,Puzzles,0.9609592,vu129_4_2,javascript,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_3,inmof,python,2048,Game Development,Puzzles,0.91310227,vu129_4_2,javascript,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_4,inmof,python,2048,Game Development,Puzzles,0.91310227,vu129_4_2,javascript,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_5,clr9q,python,15 puzzle game,Game Development,Puzzles,0.88974446,vu129_4_2,javascript,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_1,inmof,python,2048,Game Development,Puzzles,0.9615156,vu129_4_2,ruby,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_2,inmof,python,2048,Game Development,Puzzles,0.9615156,vu129_4_2,ruby,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_3,z4tt,python,100 doors,Game Development,Puzzles,0.95630044,vu129_4_2,ruby,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_4,z4tt,python,100 doors,Game Development,Puzzles,0.95630044,vu129_4_2,ruby,100 prisoners,Game Development,Puzzles,T4,Different Language
vu129_4_2_5,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9504976,vu129_4_2,ruby,100 prisoners,Game Development,Puzzles,T4,Different Language
clr9q_1_1_1,clr9q,python,15 puzzle game,Game Development,Puzzles,1.0,clr9q_1_1,python,15 puzzle game,Game Development,Puzzles,T1,Identical Clone
clr9q_1_1_2,clr9q,python,15 puzzle game,Game Development,Puzzles,1.0,clr9q_1_1,python,15 puzzle game,Game Development,Puzzles,T1,Identical Clone
clr9q_1_1_3,vu129,python,100 prisoners,Game Development,Puzzles,0.98731136,clr9q_1_1,python,15 puzzle game,Game Development,Puzzles,T1,Identical Clone
clr9q_1_1_4,vu129,python,100 prisoners,Game Development,Puzzles,0.98731136,clr9q_1_1,python,15 puzzle game,Game Development,Puzzles,T1,Identical Clone
clr9q_1_1_5,inmof,python,2048,Game Development,Puzzles,0.9777062,clr9q_1_1,python,15 puzzle game,Game Development,Puzzles,T1,Identical Clone
clr9q_1_2_1,inmof,python,2048,Game Development,Puzzles,0.9908627,clr9q_1_2,python,15 puzzle game,Game Development,Puzzles,T1,Different Whitespaces
clr9q_1_2_2,inmof,python,2048,Game Development,Puzzles,0.9908627,clr9q_1_2,python,15 puzzle game,Game Development,Puzzles,T1,Different Whitespaces
clr9q_1_2_3,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98678213,clr9q_1_2,python,15 puzzle game,Game Development,Puzzles,T1,Different Whitespaces
clr9q_1_2_4,clr9q,python,15 puzzle game,Game Development,Puzzles,0.98678213,clr9q_1_2,python,15 puzzle game,Game Development,Puzzles,T1,Different Whitespaces
clr9q_1_2_5,vu129,python,100 prisoners,Game Development,Puzzles,0.9634922,clr9q_1_2,python,15 puzzle game,Game Development,Puzzles,T1,Different Whitespaces
clr9q_1_3_1,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9996972,clr9q_1_3,python,15 puzzle game,Game Development,Puzzles,T1,Different Comments
clr9q_1_3_2,clr9q,python,15 puzzle game,Game Development,Puzzles,0.9996972,clr9q_1_3,python,15 puzzle game,Game Development,Puzzles,T1,Different Comments
clr9q_1_3_3,vu129,python,100 prisoners,Game Development,Puzzles,0.9884629,clr9q_1_3,python,15 puzzle game,Game Development,Puzzles,T1,Different Comments
