test_id,original_index,title,clone_domain_label,similarity_score,clone_type,clone_sub_type
2c3d_1,2c3d,Arithmetic-geometric mean,Python,1.0000002,Type 1 Clone (Exact Clone),Identical Clone
2c3d_2,2c3d,Arithmetic-geometric mean,Python,0.99831426,Type 1 Clone (Exact Clone),Different Whitespaces
2c3d_3,2c3d,Arithmetic-geometric mean,Python,0.9845598,Type 1 Clone (Exact Clone),Different Comments
2c3d_4,2c3d,Arithmetic-geometric mean,Python,0.98738456,Type 1 Clone (Exact Clone),Different Formatting
2c3d_5,2c3d,Arithmetic-geometric mean,Python,0.9840411,Type 2 Clone (Renamed Clone),Different variable names
2c3d_6,2c3d,Arithmetic-geometric mean,Python,0.99715257,Type 2 Clone (Renamed Clone),Different data types
2c3d_7,2c3d,Arithmetic-geometric mean,Python,0.99850965,Type 2 Clone (Renamed Clone),Different function names
2c3d_8,2c3d,Arithmetic-geometric mean,Python,0.98372084,Type 3 Clone (Near-Miss Clone),Added statements
2c3d_9,2c3d,Arithmetic-geometric mean,Python,0.9960917,Type 3 Clone (Near-Miss Clone),Removed statements
2c3d_10,2c3d,Arithmetic-geometric mean,Python,0.9942614,Type 3 Clone (Near-Miss Clone),Reordered statements
2c3d_11,2c3d,Arithmetic-geometric mean,Python,0.99457943,Type 3 Clone (Near-Miss Clone),Control Flow Modifications
2c3d_12,2c3d,Arithmetic-geometric mean,Python,0.99316543,Type 4 Clone (Semantic Clone),Same language-Different Implementation
2c3d_13,2c3d,Arithmetic-geometric mean,Java,0.9719433,Type 4 Clone (Semantic Clone),Different language-Java
2c3d_14,2c3d,Arithmetic-geometric mean,C,0.97866774,Type 4 Clone (Semantic Clone),Different language-C
2c3d_15,2c3d,Arithmetic-geometric mean,GO,0.9624884,Type 4 Clone (Semantic Clone),Different language-GO
3d4e_1,3d4e,Write to Windows event log,Python,1.0000001,Type 1 Clone (Exact Clone),Identical Clone
3d4e_2,3d4e,Write to Windows event log,Python,0.9979009,Type 1 Clone (Exact Clone),Different Whitespaces
3d4e_3,3d4e,Write to Windows event log,Python,0.99527025,Type 1 Clone (Exact Clone),Different Comments
3d4e_4,3d4e,Write to Windows event log,Python,0.9671037,Type 1 Clone (Exact Clone),Different Formatting
3d4e_5,3d4e,Write to Windows event log,Python,0.99537027,Type 2 Clone (Renamed Clone),Different variable names
3d4e_6,3d4e,Write to Windows event log,Python,0.99675345,Type 2 Clone (Renamed Clone),Different data types
3d4e_7,3d4e,Write to Windows event log,Python,0.98761165,Type 2 Clone (Renamed Clone),Different function names
3d4e_8,3d4e,Write to Windows event log,Python,0.9912565,Type 3 Clone (Near-Miss Clone),Added statements
3d4e_9,3d4e,Write to Windows event log,Python,0.9990808,Type 3 Clone (Near-Miss Clone),Removed statements
3d4e_10,3d4e,Write to Windows event log,Python,0.99852026,Type 3 Clone (Near-Miss Clone),Reordered statements
3d4e_11,3d4e,Write to Windows event log,Python,0.988945,Type 3 Clone (Near-Miss Clone),Control Flow Modifications
3d4e_12,3d4e,Write to Windows event log,Python,0.97833264,Type 4 Clone (Semantic Clone),Same language-Different Implementation
3d4e_13,3d4e,Write to Windows event log,Java,0.96179235,Type 4 Clone (Semantic Clone),Different language-Java
3d4e_14,3d4e,Write to Windows event log,C,0.97688043,Type 4 Clone (Semantic Clone),Different language-C
3d4e_15,3d4e,Write to Windows event log,GO,0.95189005,Type 4 Clone (Semantic Clone),Different language-GO
