test_id,original_index,task,clone_language,similarity_score,clone_type,clone_sub_type
clr9q_3_3,clr9q,15 puzzle game,python,0.99038434,T3,Reordered Statements
clr9q_3_4,clr9q,15 puzzle game,python,0.99418676,T3,Control Flow Modifications
clr9q_4_1,clr9q,15 puzzle game,python,0.993813,T4,Same Language
clr9q_4_2,clr9q,15 puzzle game,go,0.93409806,T4,Different Language
clr9q_4_2,clr9q,15 puzzle game,java,0.97947675,T4,Different Language
clr9q_4_2,clr9q,15 puzzle game,javascript,0.98748034,T4,Different Language
clr9q_4_2,clr9q,15 puzzle game,php,0.9804567,T4,Different Language
clr9q_4_2,clr9q,15 puzzle game,ruby,0.97744185,T4,Different Language
inmof_1_1,inmof,2048,python,1.0,T1,Identical Clone
inmof_1_2,inmof,2048,python,0.99973714,T1,Different Whitespaces
inmof_1_3,inmof,2048,python,1.0,T1,Different Comments
inmof_1_4,inmof,2048,python,0.9828172,T1,Different Formatting
inmof_2_1,inmof,2048,python,0.9998095,T2,Different Variable Names
inmof_2_2,inmof,2048,python,0.9998995,T2,Different Data Types
inmof_2_3,inmof,2048,python,0.9999564,T2,Different Function Names
inmof_3_1,inmof,2048,python,0.99951524,T3,Added Statements
inmof_3_2,inmof,2048,python,0.9991116,T3,Removed Statements
inmof_3_3,inmof,2048,python,0.99992514,T3,Reordered Statements
inmof_3_4,inmof,2048,python,0.9997749,T3,Control Flow Modifications
inmof_4_1,inmof,2048,python,0.98418707,T4,Same Language
inmof_4_2,inmof,2048,go,0.96517235,T4,Different Language
inmof_4_2,inmof,2048,java,0.97538686,T4,Different Language
inmof_4_2,inmof,2048,javascript,0.9869075,T4,Different Language
inmof_4_2,inmof,2048,php,0.98858404,T4,Different Language
inmof_4_2,inmof,2048,ruby,0.9801808,T4,Different Language
s0lq9_1_1,s0lq9,21 game,python,0.99999994,T1,Identical Clone
s0lq9_1_2,s0lq9,21 game,python,0.9664376,T1,Different Whitespaces
s0lq9_1_3,s0lq9,21 game,python,0.9991335,T1,Different Comments
s0lq9_1_4,s0lq9,21 game,python,0.97197855,T1,Different Formatting
s0lq9_2_1,s0lq9,21 game,python,0.9984971,T2,Different Variable Names
s0lq9_2_2,s0lq9,21 game,python,0.99906254,T2,Different Data Types
s0lq9_2_3,s0lq9,21 game,python,0.9990598,T2,Different Function Names
s0lq9_3_1,s0lq9,21 game,python,0.9987271,T3,Added Statements
s0lq9_3_2,s0lq9,21 game,python,0.99256754,T3,Removed Statements
s0lq9_3_3,s0lq9,21 game,python,0.9990148,T3,Reordered Statements
s0lq9_3_4,s0lq9,21 game,python,0.99927044,T3,Control Flow Modifications
s0lq9_4_1,s0lq9,21 game,python,0.9665606,T4,Same Language
s0lq9_4_2,s0lq9,21 game,go,0.9581008,T4,Different Language
s0lq9_4_2,s0lq9,21 game,java,0.9605645,T4,Different Language
s0lq9_4_2,s0lq9,21 game,javascript,0.96996427,T4,Different Language
s0lq9_4_2,s0lq9,21 game,php,0.97247493,T4,Different Language
s0lq9_4_2,s0lq9,21 game,ruby,0.9826535,T4,Different Language
u5evd_1_1,u5evd,24 game,python,1.0,T1,Identical Clone
u5evd_1_2,u5evd,24 game,python,0.9900036,T1,Different Whitespaces
u5evd_1_3,u5evd,24 game,python,0.9905653,T1,Different Comments
u5evd_1_4,u5evd,24 game,python,0.9912795,T1,Different Formatting
u5evd_2_1,u5evd,24 game,python,0.9909433,T2,Different Variable Names
u5evd_2_2,u5evd,24 game,python,0.9909897,T2,Different Data Types
u5evd_2_3,u5evd,24 game,python,0.99088115,T2,Different Function Names
u5evd_3_1,u5evd,24 game,python,0.99156034,T3,Added Statements
u5evd_3_2,u5evd,24 game,python,0.99137783,T3,Removed Statements
u5evd_3_3,u5evd,24 game,python,0.991694,T3,Reordered Statements
u5evd_3_4,u5evd,24 game,python,0.98908395,T3,Control Flow Modifications
u5evd_4_1,u5evd,24 game,python,0.9894231,T4,Same Language
u5evd_4_2,u5evd,24 game,go,0.9809364,T4,Different Language
u5evd_4_2,u5evd,24 game,java,0.97199917,T4,Different Language
u5evd_4_2,u5evd,24 game,javascript,0.92949337,T4,Different Language
u5evd_4_2,u5evd,24 game,php,0.9879724,T4,Different Language
u5evd_4_2,u5evd,24 game,ruby,0.9873389,T4,Different Language
r70gq_1_1,r70gq,24 game/Solve,python,1.0000001,T1,Identical Clone
r70gq_1_2,r70gq,24 game/Solve,python,0.99441004,T1,Different Whitespaces
r70gq_1_3,r70gq,24 game/Solve,python,0.99243516,T1,Different Comments
r70gq_1_4,r70gq,24 game/Solve,python,0.9907819,T1,Different Formatting
r70gq_2_1,r70gq,24 game/Solve,python,0.9999237,T2,Different Variable Names
r70gq_2_2,r70gq,24 game/Solve,python,0.9901319,T2,Different Data Types
r70gq_2_3,r70gq,24 game/Solve,python,0.99265194,T2,Different Function Names
r70gq_3_1,r70gq,24 game/Solve,python,0.99005157,T3,Added Statements
r70gq_3_2,r70gq,24 game/Solve,python,0.98742616,T3,Removed Statements
r70gq_3_3,r70gq,24 game/Solve,python,0.99284893,T3,Reordered Statements
r70gq_3_4,r70gq,24 game/Solve,python,0.9897475,T3,Control Flow Modifications
r70gq_4_1,r70gq,24 game/Solve,python,0.9890642,T4,Same Language
r70gq_4_2,r70gq,24 game/Solve,go,0.93694264,T4,Different Language
r70gq_4_2,r70gq,24 game/Solve,java,0.9554306,T4,Different Language
r70gq_4_2,r70gq,24 game/Solve,javascript,0.9821471,T4,Different Language
r70gq_4_2,r70gq,24 game/Solve,ruby,0.9842416,T4,Different Language
1a6pc_1_1,1a6pc,4-rings or 4-squares puzzle,python,1.0,T1,Identical Clone
1a6pc_1_2,1a6pc,4-rings or 4-squares puzzle,python,0.9713721,T1,Different Whitespaces
1a6pc_1_3,1a6pc,4-rings or 4-squares puzzle,python,0.9987578,T1,Different Comments
1a6pc_1_4,1a6pc,4-rings or 4-squares puzzle,python,0.9985424,T1,Different Formatting
1a6pc_2_1,1a6pc,4-rings or 4-squares puzzle,python,0.9975833,T2,Different Variable Names
1a6pc_2_2,1a6pc,4-rings or 4-squares puzzle,python,0.9942861,T2,Different Data Types
1a6pc_2_3,1a6pc,4-rings or 4-squares puzzle,python,0.9994718,T2,Different Function Names
1a6pc_3_1,1a6pc,4-rings or 4-squares puzzle,python,0.9956758,T3,Added Statements
1a6pc_3_2,1a6pc,4-rings or 4-squares puzzle,python,0.9941936,T3,Removed Statements
1a6pc_3_3,1a6pc,4-rings or 4-squares puzzle,python,0.99919355,T3,Reordered Statements
1a6pc_3_4,1a6pc,4-rings or 4-squares puzzle,python,0.9975959,T3,Control Flow Modifications
1a6pc_4_1,1a6pc,4-rings or 4-squares puzzle,python,0.9944097,T4,Same Language
1a6pc_4_2,1a6pc,4-rings or 4-squares puzzle,go,0.9170016,T4,Different Language
1a6pc_4_2,1a6pc,4-rings or 4-squares puzzle,java,0.98185813,T4,Different Language
1a6pc_4_2,1a6pc,4-rings or 4-squares puzzle,javascript,0.7753124,T4,Different Language
1a6pc_4_2,1a6pc,4-rings or 4-squares puzzle,ruby,0.9676674,T4,Different Language
36bzc_1_1,36bzc,9 billion names of God the integer,python,0.9999999,T1,Identical Clone
36bzc_1_2,36bzc,9 billion names of God the integer,python,0.99343294,T1,Different Whitespaces
36bzc_1_3,36bzc,9 billion names of God the integer,python,0.9999701,T1,Different Comments
36bzc_1_4,36bzc,9 billion names of God the integer,python,0.9970044,T1,Different Formatting
36bzc_2_1,36bzc,9 billion names of God the integer,python,0.9994504,T2,Different Variable Names
36bzc_2_2,36bzc,9 billion names of God the integer,python,0.99619925,T2,Different Data Types
36bzc_2_3,36bzc,9 billion names of God the integer,python,0.9998325,T2,Different Function Names
36bzc_3_1,36bzc,9 billion names of God the integer,python,0.9996916,T3,Added Statements
36bzc_3_2,36bzc,9 billion names of God the integer,python,0.9996495,T3,Removed Statements
36bzc_3_3,36bzc,9 billion names of God the integer,python,0.9995847,T3,Reordered Statements
36bzc_3_4,36bzc,9 billion names of God the integer,python,0.9994261,T3,Control Flow Modifications
36bzc_4_1,36bzc,9 billion names of God the integer,python,0.99839413,T4,Same Language
36bzc_4_2,36bzc,9 billion names of God the integer,go,0.9549581,T4,Different Language
36bzc_4_2,36bzc,9 billion names of God the integer,java,0.9691613,T4,Different Language
36bzc_4_2,36bzc,9 billion names of God the integer,javascript,0.9392995,T4,Different Language
36bzc_4_2,36bzc,9 billion names of God the integer,ruby,0.9684509,T4,Different Language
jhq7p_1_1,jhq7p,A+B,python,0.99999994,T1,Identical Clone
jhq7p_1_2,jhq7p,A+B,python,0.9985199,T1,Different Whitespaces
jhq7p_1_3,jhq7p,A+B,python,0.9951852,T1,Different Comments
jhq7p_1_4,jhq7p,A+B,python,0.99016356,T1,Different Formatting
jhq7p_2_1,jhq7p,A+B,python,0.9959133,T2,Different Variable Names
jhq7p_2_2,jhq7p,A+B,python,0.99515754,T2,Different Data Types
jhq7p_2_3,jhq7p,A+B,python,0.99864966,T2,Different Function Names
jhq7p_3_1,jhq7p,A+B,python,0.9938504,T3,Added Statements
jhq7p_3_2,jhq7p,A+B,python,0.99526715,T3,Removed Statements
jhq7p_3_3,jhq7p,A+B,python,0.9888539,T3,Reordered Statements
jhq7p_3_4,jhq7p,A+B,python,0.98889554,T3,Control Flow Modifications
jhq7p_4_1,jhq7p,A+B,python,0.98629224,T4,Same Language
jhq7p_4_2,jhq7p,A+B,go,0.9564821,T4,Different Language
jhq7p_4_2,jhq7p,A+B,java,0.9716488,T4,Different Language
jhq7p_4_2,jhq7p,A+B,javascript,0.9538597,T4,Different Language
jhq7p_4_2,jhq7p,A+B,php,0.97765774,T4,Different Language
jhq7p_4_2,jhq7p,A+B,ruby,0.9737655,T4,Different Language
z37tt_1_1,z37tt,ABC problem,python,1.0000001,T1,Identical Clone
z37tt_1_2,z37tt,ABC problem,python,0.99568987,T1,Different Whitespaces
z37tt_1_3,z37tt,ABC problem,python,0.99860966,T1,Different Comments
z37tt_1_4,z37tt,ABC problem,python,0.9889039,T1,Different Formatting
z37tt_2_1,z37tt,ABC problem,python,0.99882495,T2,Different Variable Names
z37tt_2_2,z37tt,ABC problem,python,0.99144053,T2,Different Data Types
z37tt_2_3,z37tt,ABC problem,python,0.99871886,T2,Different Function Names
z37tt_3_1,z37tt,ABC problem,python,0.9882967,T3,Added Statements
z37tt_3_2,z37tt,ABC problem,python,0.9685534,T3,Removed Statements
z37tt_3_3,z37tt,ABC problem,python,0.99886364,T3,Reordered Statements
z37tt_3_4,z37tt,ABC problem,python,0.9980175,T3,Control Flow Modifications
z37tt_4_1,z37tt,ABC problem,python,0.9917034,T4,Same Language
z37tt_4_2,z37tt,ABC problem,go,0.90928495,T4,Different Language
z37tt_4_2,z37tt,ABC problem,java,0.97421,T4,Different Language
z37tt_4_2,z37tt,ABC problem,javascript,0.86591566,T4,Different Language
z37tt_4_2,z37tt,ABC problem,php,0.9749963,T4,Different Language
z37tt_4_2,z37tt,ABC problem,ruby,0.8609434,T4,Different Language
8i80o_1_1,8i80o,AKS test for primes,python,1.0,T1,Identical Clone
8i80o_1_2,8i80o,AKS test for primes,python,0.9818496,T1,Different Whitespaces
8i80o_1_3,8i80o,AKS test for primes,python,0.9996415,T1,Different Comments
8i80o_1_4,8i80o,AKS test for primes,python,0.9987548,T1,Different Formatting
8i80o_2_1,8i80o,AKS test for primes,python,0.99922323,T2,Different Variable Names
8i80o_2_2,8i80o,AKS test for primes,python,0.9989888,T2,Different Data Types
8i80o_2_3,8i80o,AKS test for primes,python,0.99972665,T2,Different Function Names
8i80o_3_1,8i80o,AKS test for primes,python,0.99822474,T3,Added Statements
8i80o_3_2,8i80o,AKS test for primes,python,0.9908265,T3,Removed Statements
8i80o_3_3,8i80o,AKS test for primes,python,0.99817777,T3,Reordered Statements
8i80o_3_4,8i80o,AKS test for primes,python,0.99583924,T3,Control Flow Modifications
8i80o_4_1,8i80o,AKS test for primes,python,0.9960984,T4,Same Language
8i80o_4_2,8i80o,AKS test for primes,go,0.9174349,T4,Different Language
8i80o_4_2,8i80o,AKS test for primes,java,0.9457565,T4,Different Language
8i80o_4_2,8i80o,AKS test for primes,javascript,0.9505986,T4,Different Language
8i80o_4_2,8i80o,AKS test for primes,ruby,0.9682727,T4,Different Language
5cux_1_1,5cux,ASCII art diagram converter,python,0.9999999,T1,Identical Clone
5cux_1_2,5cux,ASCII art diagram converter,python,0.97397196,T1,Different Whitespaces
5cux_1_3,5cux,ASCII art diagram converter,python,0.99928284,T1,Different Comments
5cux_1_4,5cux,ASCII art diagram converter,python,0.99886507,T1,Different Formatting
5cux_2_1,5cux,ASCII art diagram converter,python,0.997834,T2,Different Variable Names
5cux_2_2,5cux,ASCII art diagram converter,python,0.99928284,T2,Different Data Types
5cux_2_3,5cux,ASCII art diagram converter,python,0.99937516,T2,Different Function Names
5cux_3_1,5cux,ASCII art diagram converter,python,0.9982317,T3,Added Statements
5cux_3_2,5cux,ASCII art diagram converter,python,0.9975289,T3,Removed Statements
5cux_3_3,5cux,ASCII art diagram converter,python,0.9990274,T3,Reordered Statements
5cux_3_4,5cux,ASCII art diagram converter,python,0.99796754,T3,Control Flow Modifications
5cux_4_1,5cux,ASCII art diagram converter,python,0.99732137,T4,Same Language
5cux_4_2,5cux,ASCII art diagram converter,go,0.96242315,T4,Different Language
5cux_4_2,5cux,ASCII art diagram converter,java,0.97790885,T4,Different Language
5cux_4_2,5cux,ASCII art diagram converter,ruby,0.97202015,T4,Different Language
kb6hf_1_1,kb6hf,"Abbreviations, automatic",python,0.9999999,T1,Identical Clone
kb6hf_1_2,kb6hf,"Abbreviations, automatic",python,0.9764776,T1,Different Whitespaces
kb6hf_1_3,kb6hf,"Abbreviations, automatic",python,0.9999999,T1,Different Comments
kb6hf_1_4,kb6hf,"Abbreviations, automatic",python,0.9997447,T1,Different Formatting
kb6hf_2_1,kb6hf,"Abbreviations, automatic",python,0.99960345,T2,Different Variable Names
kb6hf_2_2,kb6hf,"Abbreviations, automatic",python,0.99857414,T2,Different Data Types
kb6hf_2_3,kb6hf,"Abbreviations, automatic",python,0.99839664,T2,Different Function Names
kb6hf_3_1,kb6hf,"Abbreviations, automatic",python,0.9995568,T3,Added Statements
kb6hf_3_2,kb6hf,"Abbreviations, automatic",python,0.9986846,T3,Removed Statements
kb6hf_3_3,kb6hf,"Abbreviations, automatic",python,0.99906904,T3,Reordered Statements
kb6hf_3_4,kb6hf,"Abbreviations, automatic",python,0.9991949,T3,Control Flow Modifications
kb6hf_4_1,kb6hf,"Abbreviations, automatic",python,0.99455214,T4,Same Language
kb6hf_4_2,kb6hf,"Abbreviations, automatic",go,0.9188791,T4,Different Language
kb6hf_4_2,kb6hf,"Abbreviations, automatic",java,0.9811239,T4,Different Language
kb6hf_4_2,kb6hf,"Abbreviations, automatic",javascript,0.95000666,T4,Different Language
kb6hf_4_2,kb6hf,"Abbreviations, automatic",ruby,0.88123006,T4,Different Language
2vilz_1_1,2vilz,"Abbreviations, easy",python,1.0,T1,Identical Clone
2vilz_1_2,2vilz,"Abbreviations, easy",python,0.9914551,T1,Different Whitespaces
2vilz_1_3,2vilz,"Abbreviations, easy",python,0.9996049,T1,Different Comments
2vilz_1_4,2vilz,"Abbreviations, easy",python,0.99142563,T1,Different Formatting
2vilz_2_1,2vilz,"Abbreviations, easy",python,0.9990939,T2,Different Variable Names
2vilz_2_2,2vilz,"Abbreviations, easy",python,0.9980941,T2,Different Data Types
2vilz_2_3,2vilz,"Abbreviations, easy",python,0.9992963,T2,Different Function Names
2vilz_3_1,2vilz,"Abbreviations, easy",python,0.9998753,T3,Added Statements
2vilz_3_2,2vilz,"Abbreviations, easy",python,0.99654144,T3,Removed Statements
2vilz_3_3,2vilz,"Abbreviations, easy",python,0.9086884,T3,Reordered Statements
2vilz_3_4,2vilz,"Abbreviations, easy",python,0.99918854,T3,Control Flow Modifications
2vilz_4_1,2vilz,"Abbreviations, easy",python,0.98358184,T4,Same Language
2vilz_4_2,2vilz,"Abbreviations, easy",go,0.94159925,T4,Different Language
2vilz_4_2,2vilz,"Abbreviations, easy",java,0.9620752,T4,Different Language
2vilz_4_2,2vilz,"Abbreviations, easy",javascript,0.95448804,T4,Different Language
2vilz_4_2,2vilz,"Abbreviations, easy",php,0.9487426,T4,Different Language
2vilz_4_2,2vilz,"Abbreviations, easy",ruby,0.91166794,T4,Different Language
oik81_1_1,oik81,"Abbreviations, simple",python,0.99999994,T1,Identical Clone
oik81_1_2,oik81,"Abbreviations, simple",python,0.97781205,T1,Different Whitespaces
oik81_1_3,oik81,"Abbreviations, simple",python,0.9999896,T1,Different Comments
oik81_1_4,oik81,"Abbreviations, simple",python,0.9287704,T1,Different Formatting
oik81_2_1,oik81,"Abbreviations, simple",python,0.9993819,T2,Different Variable Names
oik81_2_2,oik81,"Abbreviations, simple",python,0.9976593,T2,Different Data Types
oik81_2_3,oik81,"Abbreviations, simple",python,0.9999391,T2,Different Function Names
oik81_3_1,oik81,"Abbreviations, simple",python,0.9991952,T3,Added Statements
oik81_3_2,oik81,"Abbreviations, simple",python,0.90154725,T3,Removed Statements
oik81_3_3,oik81,"Abbreviations, simple",python,0.9154943,T3,Reordered Statements
oik81_3_4,oik81,"Abbreviations, simple",python,0.997944,T3,Control Flow Modifications
oik81_4_1,oik81,"Abbreviations, simple",python,0.9954254,T4,Same Language
oik81_4_2,oik81,"Abbreviations, simple",go,0.9060591,T4,Different Language
oik81_4_2,oik81,"Abbreviations, simple",java,0.9851891,T4,Different Language
oik81_4_2,oik81,"Abbreviations, simple",javascript,0.8586397,T4,Different Language
oik81_4_2,oik81,"Abbreviations, simple",ruby,0.9216121,T4,Different Language
08hsq_1_1,08hsq,Abelian sandpile model,python,1.0000001,T1,Identical Clone
08hsq_1_2,08hsq,Abelian sandpile model,python,0.9678681,T1,Different Whitespaces
08hsq_1_3,08hsq,Abelian sandpile model,python,0.99997425,T1,Different Comments
08hsq_1_4,08hsq,Abelian sandpile model,python,0.99976146,T1,Different Formatting
08hsq_2_1,08hsq,Abelian sandpile model,python,0.9989402,T2,Different Variable Names
08hsq_2_2,08hsq,Abelian sandpile model,python,0.9981635,T2,Different Data Types
08hsq_2_3,08hsq,Abelian sandpile model,python,0.9998479,T2,Different Function Names
08hsq_3_1,08hsq,Abelian sandpile model,python,0.998705,T3,Added Statements
08hsq_3_2,08hsq,Abelian sandpile model,python,0.9958103,T3,Removed Statements
08hsq_3_3,08hsq,Abelian sandpile model,python,0.9999523,T3,Reordered Statements
08hsq_3_4,08hsq,Abelian sandpile model,python,0.9971484,T3,Control Flow Modifications
08hsq_4_1,08hsq,Abelian sandpile model,python,0.9929085,T4,Same Language
08hsq_4_2,08hsq,Abelian sandpile model,go,0.8998258,T4,Different Language
08hsq_4_2,08hsq,Abelian sandpile model,java,0.98293424,T4,Different Language
7jzrm_1_1,7jzrm,Abelian sandpile model/Identity,python,1.0,T1,Identical Clone
7jzrm_1_2,7jzrm,Abelian sandpile model/Identity,python,0.9731685,T1,Different Whitespaces
7jzrm_1_3,7jzrm,Abelian sandpile model/Identity,python,1.0,T1,Different Comments
7jzrm_1_4,7jzrm,Abelian sandpile model/Identity,python,0.9965788,T1,Different Formatting
7jzrm_2_1,7jzrm,Abelian sandpile model/Identity,python,0.99932456,T2,Different Variable Names
7jzrm_2_2,7jzrm,Abelian sandpile model/Identity,python,0.9986601,T2,Different Data Types
7jzrm_2_3,7jzrm,Abelian sandpile model/Identity,python,0.9999579,T2,Different Function Names
7jzrm_3_1,7jzrm,Abelian sandpile model/Identity,python,0.99991584,T3,Added Statements
7jzrm_3_2,7jzrm,Abelian sandpile model/Identity,python,0.9953227,T3,Removed Statements
7jzrm_3_3,7jzrm,Abelian sandpile model/Identity,python,0.9992536,T3,Reordered Statements
7jzrm_3_4,7jzrm,Abelian sandpile model/Identity,python,0.9971982,T3,Control Flow Modifications
7jzrm_4_1,7jzrm,Abelian sandpile model/Identity,python,0.9942336,T4,Same Language
7jzrm_4_2,7jzrm,Abelian sandpile model/Identity,go,0.9173646,T4,Different Language
7jzrm_4_2,7jzrm,Abelian sandpile model/Identity,ruby,0.9742902,T4,Different Language
r7zgq_1_1,r7zgq,Abstract type,python,1.0000001,T1,Identical Clone
r7zgq_1_2,r7zgq,Abstract type,python,0.9750842,T1,Different Whitespaces
r7zgq_1_3,r7zgq,Abstract type,python,0.9991387,T1,Different Comments
r7zgq_1_4,r7zgq,Abstract type,python,0.99821997,T1,Different Formatting
r7zgq_2_1,r7zgq,Abstract type,python,0.9994984,T2,Different Variable Names
r7zgq_2_2,r7zgq,Abstract type,python,0.9944776,T2,Different Data Types
r7zgq_2_3,r7zgq,Abstract type,python,0.9998332,T2,Different Function Names
r7zgq_3_1,r7zgq,Abstract type,python,0.99929523,T3,Added Statements
r7zgq_3_2,r7zgq,Abstract type,python,0.9999489,T3,Removed Statements
r7zgq_3_3,r7zgq,Abstract type,python,0.99542654,T3,Reordered Statements
r7zgq_3_4,r7zgq,Abstract type,python,0.9899799,T3,Control Flow Modifications
r7zgq_4_1,r7zgq,Abstract type,python,0.99835443,T4,Same Language
r7zgq_4_2,r7zgq,Abstract type,go,0.9054421,T4,Different Language
r7zgq_4_2,r7zgq,Abstract type,java,0.96400213,T4,Different Language
r7zgq_4_2,r7zgq,Abstract type,php,0.9297261,T4,Different Language
r7zgq_4_2,r7zgq,Abstract type,ruby,0.9532155,T4,Different Language
grn4h_1_1,grn4h,Abundant odd numbers,python,1.0,T1,Identical Clone
grn4h_1_2,grn4h,Abundant odd numbers,python,0.97492087,T1,Different Whitespaces
grn4h_1_3,grn4h,Abundant odd numbers,python,0.9857348,T1,Different Comments
grn4h_1_4,grn4h,Abundant odd numbers,python,0.98530805,T1,Different Formatting
grn4h_2_1,grn4h,Abundant odd numbers,python,0.99944556,T2,Different Variable Names
grn4h_2_2,grn4h,Abundant odd numbers,python,0.9839517,T2,Different Data Types
grn4h_2_3,grn4h,Abundant odd numbers,python,0.9984119,T2,Different Function Names
grn4h_3_1,grn4h,Abundant odd numbers,python,0.98389894,T3,Added Statements
grn4h_3_2,grn4h,Abundant odd numbers,python,0.97678137,T3,Removed Statements
grn4h_3_3,grn4h,Abundant odd numbers,python,0.9850998,T3,Reordered Statements
grn4h_3_4,grn4h,Abundant odd numbers,python,0.9822439,T3,Control Flow Modifications
grn4h_4_1,grn4h,Abundant odd numbers,python,0.9856198,T4,Same Language
grn4h_4_2,grn4h,Abundant odd numbers,go,0.98788196,T4,Different Language
grn4h_4_2,grn4h,Abundant odd numbers,java,0.94195867,T4,Different Language
grn4h_4_2,grn4h,Abundant odd numbers,javascript,0.89711833,T4,Different Language
grn4h_4_2,grn4h,Abundant odd numbers,ruby,0.9556413,T4,Different Language
dfwn1_1_1,dfwn1,"Abundant, deficient and perfect number classifications",python,0.99999994,T1,Identical Clone
dfwn1_1_2,dfwn1,"Abundant, deficient and perfect number classifications",python,0.9974966,T1,Different Whitespaces
dfwn1_1_3,dfwn1,"Abundant, deficient and perfect number classifications",python,0.9962101,T1,Different Comments
dfwn1_1_4,dfwn1,"Abundant, deficient and perfect number classifications",python,0.9962101,T1,Different Formatting
dfwn1_2_1,dfwn1,"Abundant, deficient and perfect number classifications",python,0.9956156,T2,Different Variable Names
dfwn1_2_2,dfwn1,"Abundant, deficient and perfect number classifications",python,0.9909396,T2,Different Data Types
dfwn1_2_3,dfwn1,"Abundant, deficient and perfect number classifications",python,0.99804837,T2,Different Function Names
dfwn1_3_1,dfwn1,"Abundant, deficient and perfect number classifications",python,0.9902415,T3,Added Statements
dfwn1_3_2,dfwn1,"Abundant, deficient and perfect number classifications",python,0.99442613,T3,Removed Statements
dfwn1_3_3,dfwn1,"Abundant, deficient and perfect number classifications",python,0.9961882,T3,Reordered Statements
dfwn1_3_4,dfwn1,"Abundant, deficient and perfect number classifications",python,0.9930918,T3,Control Flow Modifications
dfwn1_4_1,dfwn1,"Abundant, deficient and perfect number classifications",python,0.99682087,T4,Same Language
dfwn1_4_2,dfwn1,"Abundant, deficient and perfect number classifications",go,0.9399232,T4,Different Language
dfwn1_4_2,dfwn1,"Abundant, deficient and perfect number classifications",java,0.9294342,T4,Different Language
dfwn1_4_2,dfwn1,"Abundant, deficient and perfect number classifications",javascript,0.98104036,T4,Different Language
dfwn1_4_2,dfwn1,"Abundant, deficient and perfect number classifications",ruby,0.9638965,T4,Different Language
p1gbm_1_1,p1gbm,Accumulator factory,python,1.0,T1,Identical Clone
p1gbm_1_2,p1gbm,Accumulator factory,python,0.9908256,T1,Different Whitespaces
