test_id,clone_code_id,clone_language,clone_task,clone_domain,clone_subdomain,clone_type,clone_sub_type,similarity_score,base_code_id,base_language,base_task,base_domain,base_subdomain
z4tt_4_1_1,z4tt_4_1,python,100 doors,Game Development,Puzzles,T4,Same Language,0.99789906,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_1_2,z4tt_4_1,python,100 doors,Game Development,Puzzles,T4,Same Language,0.99789906,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_1_3,z4tt_4_1,python,100 doors,Game Development,Puzzles,T4,Same Language,0.9343395,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_4_1_4,z4tt_4_1,python,100 doors,Game Development,Puzzles,T4,Same Language,0.9343395,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_4_1_5,z4tt_4_1,python,100 doors,Game Development,Puzzles,T4,Same Language,0.9317318,vu129,python,100 prisoners,Game Development,Puzzles
z4tt_4_2_1,z4tt_4_2,go,100 doors,Game Development,Puzzles,T4,Different Language,0.94561076,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_2_2,z4tt_4_2,go,100 doors,Game Development,Puzzles,T4,Different Language,0.94561076,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_2_3,z4tt_4_2,go,100 doors,Game Development,Puzzles,T4,Different Language,0.8886688,inmof,python,2048,Game Development,Puzzles
z4tt_4_2_4,z4tt_4_2,go,100 doors,Game Development,Puzzles,T4,Different Language,0.8886688,inmof,python,2048,Game Development,Puzzles
z4tt_4_2_5,z4tt_4_2,go,100 doors,Game Development,Puzzles,T4,Different Language,0.8687373,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_4_2_1,z4tt_4_2,java,100 doors,Game Development,Puzzles,T4,Different Language,0.9791915,vu129,python,100 prisoners,Game Development,Puzzles
z4tt_4_2_2,z4tt_4_2,java,100 doors,Game Development,Puzzles,T4,Different Language,0.9791915,vu129,python,100 prisoners,Game Development,Puzzles
z4tt_4_2_3,z4tt_4_2,java,100 doors,Game Development,Puzzles,T4,Different Language,0.975103,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_4_2_4,z4tt_4_2,java,100 doors,Game Development,Puzzles,T4,Different Language,0.975103,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_4_2_5,z4tt_4_2,java,100 doors,Game Development,Puzzles,T4,Different Language,0.94881815,inmof,python,2048,Game Development,Puzzles
z4tt_4_2_1,z4tt_4_2,javascript,100 doors,Game Development,Puzzles,T4,Different Language,0.9798317,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_2_2,z4tt_4_2,javascript,100 doors,Game Development,Puzzles,T4,Different Language,0.9798317,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_2_3,z4tt_4_2,javascript,100 doors,Game Development,Puzzles,T4,Different Language,0.94234,inmof,python,2048,Game Development,Puzzles
z4tt_4_2_4,z4tt_4_2,javascript,100 doors,Game Development,Puzzles,T4,Different Language,0.94234,inmof,python,2048,Game Development,Puzzles
z4tt_4_2_5,z4tt_4_2,javascript,100 doors,Game Development,Puzzles,T4,Different Language,0.9394878,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_4_2_1,z4tt_4_2,php,100 doors,Game Development,Puzzles,T4,Different Language,0.97955364,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_2_2,z4tt_4_2,php,100 doors,Game Development,Puzzles,T4,Different Language,0.97955364,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_2_3,z4tt_4_2,php,100 doors,Game Development,Puzzles,T4,Different Language,0.9326568,inmof,python,2048,Game Development,Puzzles
z4tt_4_2_4,z4tt_4_2,php,100 doors,Game Development,Puzzles,T4,Different Language,0.9326568,inmof,python,2048,Game Development,Puzzles
z4tt_4_2_5,z4tt_4_2,php,100 doors,Game Development,Puzzles,T4,Different Language,0.91717434,clr9q,python,15 puzzle game,Game Development,Puzzles
z4tt_4_2_1,z4tt_4_2,ruby,100 doors,Game Development,Puzzles,T4,Different Language,0.9837183,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_2_2,z4tt_4_2,ruby,100 doors,Game Development,Puzzles,T4,Different Language,0.9837183,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_2_3,z4tt_4_2,ruby,100 doors,Game Development,Puzzles,T4,Different Language,0.9170362,inmof,python,2048,Game Development,Puzzles
z4tt_4_2_4,z4tt_4_2,ruby,100 doors,Game Development,Puzzles,T4,Different Language,0.9170362,inmof,python,2048,Game Development,Puzzles
z4tt_4_2_5,z4tt_4_2,ruby,100 doors,Game Development,Puzzles,T4,Different Language,0.9131224,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_1_1_1,vu129_1_1,python,100 prisoners,Game Development,Puzzles,T1,Identical Clone,1,vu129,python,100 prisoners,Game Development,Puzzles
vu129_1_1_2,vu129_1_1,python,100 prisoners,Game Development,Puzzles,T1,Identical Clone,1,vu129,python,100 prisoners,Game Development,Puzzles
vu129_1_1_3,vu129_1_1,python,100 prisoners,Game Development,Puzzles,T1,Identical Clone,0.98731136,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_1_1_4,vu129_1_1,python,100 prisoners,Game Development,Puzzles,T1,Identical Clone,0.98731136,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_1_1_5,vu129_1_1,python,100 prisoners,Game Development,Puzzles,T1,Identical Clone,0.95824844,inmof,python,2048,Game Development,Puzzles
vu129_1_2_1,vu129_1_2,python,100 prisoners,Game Development,Puzzles,T1,Different Whitespaces,0.98198456,inmof,python,2048,Game Development,Puzzles
vu129_1_2_2,vu129_1_2,python,100 prisoners,Game Development,Puzzles,T1,Different Whitespaces,0.98198456,inmof,python,2048,Game Development,Puzzles
vu129_1_2_3,vu129_1_2,python,100 prisoners,Game Development,Puzzles,T1,Different Whitespaces,0.97683907,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_1_2_4,vu129_1_2,python,100 prisoners,Game Development,Puzzles,T1,Different Whitespaces,0.97683907,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_1_2_5,vu129_1_2,python,100 prisoners,Game Development,Puzzles,T1,Different Whitespaces,0.9688635,vu129,python,100 prisoners,Game Development,Puzzles
vu129_1_3_1,vu129_1_3,python,100 prisoners,Game Development,Puzzles,T1,Different Comments,0.9994661,vu129,python,100 prisoners,Game Development,Puzzles
vu129_1_3_2,vu129_1_3,python,100 prisoners,Game Development,Puzzles,T1,Different Comments,0.9994661,vu129,python,100 prisoners,Game Development,Puzzles
vu129_1_3_3,vu129_1_3,python,100 prisoners,Game Development,Puzzles,T1,Different Comments,0.98832643,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_1_3_4,vu129_1_3,python,100 prisoners,Game Development,Puzzles,T1,Different Comments,0.98832643,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_1_3_5,vu129_1_3,python,100 prisoners,Game Development,Puzzles,T1,Different Comments,0.9623128,inmof,python,2048,Game Development,Puzzles
vu129_1_4_1,vu129_1_4,python,100 prisoners,Game Development,Puzzles,T1,Different Formatting,0.9995636,vu129,python,100 prisoners,Game Development,Puzzles
vu129_1_4_2,vu129_1_4,python,100 prisoners,Game Development,Puzzles,T1,Different Formatting,0.9995636,vu129,python,100 prisoners,Game Development,Puzzles
vu129_1_4_3,vu129_1_4,python,100 prisoners,Game Development,Puzzles,T1,Different Formatting,0.9864063,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_1_4_4,vu129_1_4,python,100 prisoners,Game Development,Puzzles,T1,Different Formatting,0.9864063,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_1_4_5,vu129_1_4,python,100 prisoners,Game Development,Puzzles,T1,Different Formatting,0.95478094,inmof,python,2048,Game Development,Puzzles
vu129_2_1_1,vu129_2_1,python,100 prisoners,Game Development,Puzzles,T2,Different Variable Names,0.999232,vu129,python,100 prisoners,Game Development,Puzzles
vu129_2_1_2,vu129_2_1,python,100 prisoners,Game Development,Puzzles,T2,Different Variable Names,0.999232,vu129,python,100 prisoners,Game Development,Puzzles
vu129_2_1_3,vu129_2_1,python,100 prisoners,Game Development,Puzzles,T2,Different Variable Names,0.98392004,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_2_1_4,vu129_2_1,python,100 prisoners,Game Development,Puzzles,T2,Different Variable Names,0.98392004,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_2_1_5,vu129_2_1,python,100 prisoners,Game Development,Puzzles,T2,Different Variable Names,0.95209205,inmof,python,2048,Game Development,Puzzles
vu129_2_2_1,vu129_2_2,python,100 prisoners,Game Development,Puzzles,T2,Different Data Types,0.9980772,vu129,python,100 prisoners,Game Development,Puzzles
vu129_2_2_2,vu129_2_2,python,100 prisoners,Game Development,Puzzles,T2,Different Data Types,0.9980772,vu129,python,100 prisoners,Game Development,Puzzles
vu129_2_2_3,vu129_2_2,python,100 prisoners,Game Development,Puzzles,T2,Different Data Types,0.9877684,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_2_2_4,vu129_2_2,python,100 prisoners,Game Development,Puzzles,T2,Different Data Types,0.9877684,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_2_2_5,vu129_2_2,python,100 prisoners,Game Development,Puzzles,T2,Different Data Types,0.95938873,inmof,python,2048,Game Development,Puzzles
vu129_2_3_1,vu129_2_3,python,100 prisoners,Game Development,Puzzles,T2,Different Function Names,0.9999887,vu129,python,100 prisoners,Game Development,Puzzles
vu129_2_3_2,vu129_2_3,python,100 prisoners,Game Development,Puzzles,T2,Different Function Names,0.9999887,vu129,python,100 prisoners,Game Development,Puzzles
vu129_2_3_3,vu129_2_3,python,100 prisoners,Game Development,Puzzles,T2,Different Function Names,0.98729485,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_2_3_4,vu129_2_3,python,100 prisoners,Game Development,Puzzles,T2,Different Function Names,0.98729485,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_2_3_5,vu129_2_3,python,100 prisoners,Game Development,Puzzles,T2,Different Function Names,0.9582876,inmof,python,2048,Game Development,Puzzles
vu129_3_1_1,vu129_3_1,python,100 prisoners,Game Development,Puzzles,T3,Added Statements,0.9997015,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_1_2,vu129_3_1,python,100 prisoners,Game Development,Puzzles,T3,Added Statements,0.9997015,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_1_3,vu129_3_1,python,100 prisoners,Game Development,Puzzles,T3,Added Statements,0.9872741,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_3_1_4,vu129_3_1,python,100 prisoners,Game Development,Puzzles,T3,Added Statements,0.9872741,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_3_1_5,vu129_3_1,python,100 prisoners,Game Development,Puzzles,T3,Added Statements,0.956707,inmof,python,2048,Game Development,Puzzles
vu129_3_2_1,vu129_3_2,python,100 prisoners,Game Development,Puzzles,T3,Removed Statements,0.9928801,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_2_2,vu129_3_2,python,100 prisoners,Game Development,Puzzles,T3,Removed Statements,0.9928801,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_2_3,vu129_3_2,python,100 prisoners,Game Development,Puzzles,T3,Removed Statements,0.9897347,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_3_2_4,vu129_3_2,python,100 prisoners,Game Development,Puzzles,T3,Removed Statements,0.9897347,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_3_2_5,vu129_3_2,python,100 prisoners,Game Development,Puzzles,T3,Removed Statements,0.9717105,inmof,python,2048,Game Development,Puzzles
vu129_3_3_1,vu129_3_3,python,100 prisoners,Game Development,Puzzles,T3,Reordered Statements,0.99973047,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_3_2,vu129_3_3,python,100 prisoners,Game Development,Puzzles,T3,Reordered Statements,0.99973047,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_3_3,vu129_3_3,python,100 prisoners,Game Development,Puzzles,T3,Reordered Statements,0.98726714,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_3_3_4,vu129_3_3,python,100 prisoners,Game Development,Puzzles,T3,Reordered Statements,0.98726714,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_3_3_5,vu129_3_3,python,100 prisoners,Game Development,Puzzles,T3,Reordered Statements,0.9568199,inmof,python,2048,Game Development,Puzzles
vu129_3_4_1,vu129_3_4,python,100 prisoners,Game Development,Puzzles,T3,Control Flow Modifications,0.99898124,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_4_2,vu129_3_4,python,100 prisoners,Game Development,Puzzles,T3,Control Flow Modifications,0.99898124,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_4_3,vu129_3_4,python,100 prisoners,Game Development,Puzzles,T3,Control Flow Modifications,0.98797584,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_3_4_4,vu129_3_4,python,100 prisoners,Game Development,Puzzles,T3,Control Flow Modifications,0.98797584,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_3_4_5,vu129_3_4,python,100 prisoners,Game Development,Puzzles,T3,Control Flow Modifications,0.95896864,inmof,python,2048,Game Development,Puzzles
vu129_4_1_1,vu129_4_1,python,100 prisoners,Game Development,Puzzles,T4,Same Language,0.985229,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_4_1_2,vu129_4_1,python,100 prisoners,Game Development,Puzzles,T4,Same Language,0.985229,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_4_1_3,vu129_4_1,python,100 prisoners,Game Development,Puzzles,T4,Same Language,0.97935486,vu129,python,100 prisoners,Game Development,Puzzles
vu129_4_1_4,vu129_4_1,python,100 prisoners,Game Development,Puzzles,T4,Same Language,0.97935486,vu129,python,100 prisoners,Game Development,Puzzles
vu129_4_1_5,vu129_4_1,python,100 prisoners,Game Development,Puzzles,T4,Same Language,0.97891986,inmof,python,2048,Game Development,Puzzles
vu129_4_2_1,vu129_4_2,go,100 prisoners,Game Development,Puzzles,T4,Different Language,0.9611594,z4tt,python,100 doors,Game Development,Puzzles
vu129_4_2_2,vu129_4_2,go,100 prisoners,Game Development,Puzzles,T4,Different Language,0.9611594,z4tt,python,100 doors,Game Development,Puzzles
vu129_4_2_3,vu129_4_2,go,100 prisoners,Game Development,Puzzles,T4,Different Language,0.90710866,inmof,python,2048,Game Development,Puzzles
vu129_4_2_4,vu129_4_2,go,100 prisoners,Game Development,Puzzles,T4,Different Language,0.90710866,inmof,python,2048,Game Development,Puzzles
vu129_4_2_5,vu129_4_2,go,100 prisoners,Game Development,Puzzles,T4,Different Language,0.90022385,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_4_2_1,vu129_4_2,java,100 prisoners,Game Development,Puzzles,T4,Different Language,0.9845103,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_4_2_2,vu129_4_2,java,100 prisoners,Game Development,Puzzles,T4,Different Language,0.9845103,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_4_2_3,vu129_4_2,java,100 prisoners,Game Development,Puzzles,T4,Different Language,0.98181593,vu129,python,100 prisoners,Game Development,Puzzles
vu129_4_2_4,vu129_4_2,java,100 prisoners,Game Development,Puzzles,T4,Different Language,0.98181593,vu129,python,100 prisoners,Game Development,Puzzles
vu129_4_2_5,vu129_4_2,java,100 prisoners,Game Development,Puzzles,T4,Different Language,0.96511215,inmof,python,2048,Game Development,Puzzles
vu129_4_2_1,vu129_4_2,javascript,100 prisoners,Game Development,Puzzles,T4,Different Language,0.9609592,z4tt,python,100 doors,Game Development,Puzzles
vu129_4_2_2,vu129_4_2,javascript,100 prisoners,Game Development,Puzzles,T4,Different Language,0.9609592,z4tt,python,100 doors,Game Development,Puzzles
vu129_4_2_3,vu129_4_2,javascript,100 prisoners,Game Development,Puzzles,T4,Different Language,0.91310227,inmof,python,2048,Game Development,Puzzles
vu129_4_2_4,vu129_4_2,javascript,100 prisoners,Game Development,Puzzles,T4,Different Language,0.91310227,inmof,python,2048,Game Development,Puzzles
vu129_4_2_5,vu129_4_2,javascript,100 prisoners,Game Development,Puzzles,T4,Different Language,0.88974446,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_4_2_1,vu129_4_2,ruby,100 prisoners,Game Development,Puzzles,T4,Different Language,0.9615156,inmof,python,2048,Game Development,Puzzles
vu129_4_2_2,vu129_4_2,ruby,100 prisoners,Game Development,Puzzles,T4,Different Language,0.9615156,inmof,python,2048,Game Development,Puzzles
vu129_4_2_3,vu129_4_2,ruby,100 prisoners,Game Development,Puzzles,T4,Different Language,0.95630044,z4tt,python,100 doors,Game Development,Puzzles
vu129_4_2_4,vu129_4_2,ruby,100 prisoners,Game Development,Puzzles,T4,Different Language,0.95630044,z4tt,python,100 doors,Game Development,Puzzles
vu129_4_2_5,vu129_4_2,ruby,100 prisoners,Game Development,Puzzles,T4,Different Language,0.9504976,clr9q,python,15 puzzle game,Game Development,Puzzles
clr9q_1_1_1,clr9q_1_1,python,15 puzzle game,Game Development,Puzzles,T1,Identical Clone,1,clr9q,python,15 puzzle game,Game Development,Puzzles
clr9q_1_1_2,clr9q_1_1,python,15 puzzle game,Game Development,Puzzles,T1,Identical Clone,1,clr9q,python,15 puzzle game,Game Development,Puzzles
clr9q_1_1_3,clr9q_1_1,python,15 puzzle game,Game Development,Puzzles,T1,Identical Clone,0.98731136,vu129,python,100 prisoners,Game Development,Puzzles
clr9q_1_1_4,clr9q_1_1,python,15 puzzle game,Game Development,Puzzles,T1,Identical Clone,0.98731136,vu129,python,100 prisoners,Game Development,Puzzles
clr9q_1_1_5,clr9q_1_1,python,15 puzzle game,Game Development,Puzzles,T1,Identical Clone,0.9777062,inmof,python,2048,Game Development,Puzzles
clr9q_1_2_1,clr9q_1_2,python,15 puzzle game,Game Development,Puzzles,T1,Different Whitespaces,0.9908627,inmof,python,2048,Game Development,Puzzles
clr9q_1_2_2,clr9q_1_2,python,15 puzzle game,Game Development,Puzzles,T1,Different Whitespaces,0.9908627,inmof,python,2048,Game Development,Puzzles
clr9q_1_2_3,clr9q_1_2,python,15 puzzle game,Game Development,Puzzles,T1,Different Whitespaces,0.98678213,clr9q,python,15 puzzle game,Game Development,Puzzles
clr9q_1_2_4,clr9q_1_2,python,15 puzzle game,Game Development,Puzzles,T1,Different Whitespaces,0.98678213,clr9q,python,15 puzzle game,Game Development,Puzzles
clr9q_1_2_5,clr9q_1_2,python,15 puzzle game,Game Development,Puzzles,T1,Different Whitespaces,0.9634922,vu129,python,100 prisoners,Game Development,Puzzles
clr9q_1_3_1,clr9q_1_3,python,15 puzzle game,Game Development,Puzzles,T1,Different Comments,0.9996972,clr9q,python,15 puzzle game,Game Development,Puzzles
clr9q_1_3_2,clr9q_1_3,python,15 puzzle game,Game Development,Puzzles,T1,Different Comments,0.9996972,clr9q,python,15 puzzle game,Game Development,Puzzles
clr9q_1_3_3,clr9q_1_3,python,15 puzzle game,Game Development,Puzzles,T1,Different Comments,0.9884629,vu129,python,100 prisoners,Game Development,Puzzles
